"NC Code","Supplier","Brand Name","Age","Proof","Bottle Size","Retail Bottle Price","Mixed Beverage Price",
64-866,"Sazerac Co.","Corazon Blanco De Agave","","80",".75L","$21.95","$25.70",
64-874,"DV Spirits LLC","Dulce Vida Lime","","70",".75L","$24.95","$28.70",
64-880,"Luxco","Juarez Silver","","80",".75L","$11.95","$15.70",
64-894,"Luxco","Exotico Blanco","","80","1.75L","$34.95","$43.70",
64-895,"Luxco","Exotico Blanco","","80",".75L","$19.95","$23.70",
64-923,"Sazerac NA","Montezuma Teq White","","80","1.75L","$21.95","$30.70",
64-925,"Sazerac NA","Montezuma Teq White","","80",".75L","$10.95","$14.70",
64-931,"Jago USA","Don Cheyo Tequila","","80",".75L","$41.95","$45.70",
64-936,"E & J Gallo Winery","Familia Camarena Silver","","80","1.75L","$39.95","$48.70",
64-937,"E & J Gallo Winery","Familia Camarena Silver","","80",".75L","$21.95","$25.70",
64-951,"Pernod Ricard","Olmeca Altos Plata","","80","1.75L","$41.95","$50.70",
64-952,"Pernod Ricard","Olmeca Altos Plata","","80",".75L","$25.95","$29.70",
64-953,"Pernod Ricard","Olmeca Altos Plata","","80",".375L","$9.95","$11.83",
64-969,"Constellation Brands","Mi Campo Blanco","","80",".75L","$24.95","$28.70",
64-972,"Constellation Brands","Mi Campo Reposado","","80",".75L","$24.95","$28.70",
65-010,"McCormick","Pancho Villa White","","80",".75L","$11.85","$15.60",
65-012,"Patron Spirits","ROCA Patron Silver","","90",".75L","$69.95","$73.70",
65-014,"Patron Spirits","Patron Silver w/o Box","","80",".75L","$49.95","$53.70",
65-015,"Patron Spirits","ROCA Patron Silver","","80",".375L","$34.95","$36.83",
65-016,"Patron Spirits","Gran Patron Platinum","006Y","80",".75L","$199.95","$203.70",
65-018,"Patron Spirits","Patron Silver","001M","80","1.75L","$103.95","$112.70",
65-019,"Patron Spirits","Patron Silver","","80",".75L","$49.95","$53.70",
65-020,"Patron Spirits","Patron Silver","","80",".375L","$26.95","$28.83",
65-021,"Proximo Spirits","1800 Silver","","80","1.75L","$37.95","$46.70",
65-022,"Proximo Spirits","1800 Silver","","80",".75L","$29.95","$33.70",
65-023,"Proximo Spirits","1800 Silver","","80",".375L","$15.95","$17.83",
65-028,"Proximo Spirits","1800 Coconut","","80",".75L","$29.95","$33.70",
65-029,"Proximo Spirits","1800 Coconut","","80",".375L","$15.95","$17.83",
65-040,"Brown - Forman","Pepe Lopez Silver","","80","1.75L","$29.95","$38.70",
65-042,"Brown - Forman","Pepe Lopez Silver","","80",".75L","$17.95","$21.70",
65-047,"Heaven Hill","Lunazul Blanco","","80","1.75L","$34.95","$43.70",
65-048,"Heaven Hill","Lunazul Blanco","","80",".75L","$18.95","$22.70",
65-049,"Heaven Hill","Lunazul Blanco","","80",".375L","$9.95","$11.83",
65-071,"Beam Suntory","Sauza Blue Silver Tequila","","80","1.75L","$33.95","$42.70",
65-072,"Beam Suntory","Sauza Blue Silver Tequila","","80",".75L","$18.95","$22.70",
65-074,"Beam Suntory","Sauza Silver","","80","1.75L","$29.95","$38.70",
65-075,"Beam Suntory","Sauza Silver","","80",".75L","$16.95","$20.70",
65-082,"Beam Suntory","Tres Generaciones Plata","","80",".75L","$39.95","$43.70",
65-094,"Infinium Spirits","Corralejo Silver","","80",".75L","$26.95","$30.70",
65-104,"McCormick","Tarantula Azul Co-Pk","","70",".75L","$19.95","$23.70",
65-118,"Trinchero Family Estates","Tres Agaves Blanco","","80",".75L","$34.95","$38.70",
65-128,"Heaven Hill","Two Fingers Silver","","80","1.75L","$26.95","$35.70",
65-130,"Heaven Hill","Two Fingers Silver","","80",".75L","$15.50","$19.25",
65-164,"Campari America","Espolon Blanco","","80","1.75L","$50.95","$59.70",
65-165,"Campari America","Espolon Blanco","006M","80",".75L","$27.95","$31.70",
65-174,"International Distillers & Vinters","30-30 Tequila Reposado","011M","80",".75L","$19.95","$23.70",
65-182,"Beam Suntory","El Tesoro Reposado","","80",".75L","$49.95","$53.70",
65-185,"Beam Suntory","Sauza Extra Gold","","80",".75L","$16.95","$20.70",
65-187,"Beam Suntory","Sauza Conmemorativo","","80",".75L","$22.95","$26.70",
65-188,"Beam Suntory","Hornitos Reposado","","80",".75L","$25.95","$29.70",
65-190,"Beam Suntory","Hornitos Reposado","","80","1.75L","$39.95","$48.70",
65-191,"Beam Suntory","Hornitos Reposado","002M","80",".375L","$10.95","$12.83",
65-192,"Beam Suntory","Tres Generaciones Anejo","","80",".75L","$44.95","$48.70",
65-196,"Proximo Spirits","1800 Reposado","006M","80","1.75L","$37.95","$46.70",
65-197,"Proximo Spirits","1800 Reposado","","80",".75L","$29.95","$33.70",
65-199,"Proximo Spirits","1800 Reposado","006M","80",".375L","$17.95","$19.83",
65-202,"Proximo Spirits","Jose Cuervo Especial Gold","","80","1.75L","$35.95","$44.70",
65-204,"Proximo Spirits","Jose Cuervo Especial Gold","","80",".75L","$20.95","$24.70",
65-206,"Proximo Spirits","Jose Cuervo Especial Gold","","80",".375L","$8.95","$10.83",
65-208,"Proximo Spirits","1800 Anejo","001Y","80",".75L","$38.95","$42.70",
65-219,"Sazerac Co.","Margaritaville Gold","","80","1.75L","$25.95","$34.70",
65-220,"Sazerac Co.","Margaritaville Gold","","80",".75L","$15.95","$19.70",
